15;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O
A;0;13.6959;10.6266;10.5197;18.8993;7.90617;2.06012;15.3551;5.7341;13.9768;19.4769;5.85749;16.7699;14.8062;13.5344
B;13.6959;0;12.973;2.00431;8.42571;12.8468;9.49912;3.75713;18.0466;1.88575;10.7952;13.1795;15.056;13.01;16.0022
C;10.6266;12.973;0;13.3109;19.8328;2.45429;9.28532;1.43054;17.0115;9.49249;6.20386;5.21022;6.09176;2.26009;13.3695
D;10.5197;2.00431;13.3109;0;17.0093;9.86711;13.5774;13.8009;8.62009;11.8403;2.23481;6.40524;7.91553;7.27545;3.55265
E;18.8993;8.42571;19.8328;17.0093;0;1.39703;4.87913;8.53082;12.5344;3.41005;17.7099;5.16376;4.26674;14.1537;10.605
F;7.90617;12.8468;2.45429;9.86711;1.39703;0;8.28492;2.66733;17.8427;13.6197;2.94045;10.2054;18.1971;5.37272;1.35128
G;2.06012;9.49912;9.28532;13.5774;4.87913;8.28492;0;14.9444;18.3929;8.95609;16.0265;2.93045;13.1435;18.0421;2.80497
H;15.3551;3.75713;1.43054;13.8009;8.53082;2.66733;14.9444;0;13.1484;4.84165;5.61756;12.2764;17.8694;6.7708;14.8347
I;5.7341;18.0466;17.0115;8.62009;12.5344;17.8427;18.3929;13.1484;0;17.1305;14.5145;12.499;16.2546;18.1589;9.26478
J;13.9768;1.88575;9.49249;11.8403;3.41005;13.6197;8.95609;4.84165;17.1305;0;17.2256;16.4597;7.83348;15.2905;2.19615
K;19.4769;10.7952;6.20386;2.23481;17.7099;2.94045;16.0265;5.61756;14.5145;17.2256;0;2.62835;8.62123;11.9585;12.6914
L;5.85749;13.1795;5.21022;6.40524;5.16376;10.2054;2.93045;12.2764;12.499;16.4597;2.62835;0;19.0415;2.78859;3.82087
M;16.7699;15.056;6.09176;7.91553;4.26674;18.1971;13.1435;17.8694;16.2546;7.83348;8.62123;19.0415;0;6.30134;9.60916
N;14.8062;13.01;2.26009;7.27545;14.1537;5.37272;18.0421;6.7708;18.1589;15.2905;11.9585;2.78859;6.30134;0;10.1786
O;13.5344;16.0022;13.3695;3.55265;10.605;1.35128;2.80497;14.8347;9.26478;2.19615;12.6914;3.82087;9.60916;10.1786;0
