25;A;B;C;D;E;F;G;H;I;J;K;L;M;N;O;P;Q;R;S;T;U;V;W;X;Y
A;0;14.1432;4.27428;7.87509;11.6717;18.6193;14.0155;6.04904;6.2104;1.12495;11.0453;16.7682;5.4544;6.13765;13.3996;9.41235;8.42976;4.95531;15.8136;15.4704;4.92469;14.205;17.3198;3.98831;8.48606
B;14.1432;0;1.18612;13.0435;8.97966;13.0875;7.02802;5.89915;13.9414;14.5729;6.72501;5.18437;8.75572;11.4527;5.65119;7.63219;14.1382;15.845;11.6335;4.29132;9.28812;10.4128;7.42984;14.3784;5.59265
C;4.27428;1.18612;0;11.6973;13.1955;17.3373;13.1066;5.20496;12.8153;11.0102;16.1221;14.9294;13.6052;7.11883;12.2151;13.9775;12.0185;14.1598;17.961;6.99033;18.5104;7.9609;9.88802;3.93913;17.9737
D;7.87509;13.0435;11.6973;0;11.8515;1.80481;18.4481;5.80552;17.4249;3.26656;19.0499;11.6913;6.54822;16.9048;1.34781;13.6908;19.7513;1.64166;12.432;11.1906;8.17988;4.20248;17.0011;6.17564;5.94394
E;11.6717;8.97966;13.1955;11.8515;0;6.77928;5.36503;5.05694;13.9091;3.51961;16.1665;18.8614;16.9745;14.7121;9.67453;6.7854;13.2343;5.06279;17.3941;17.5827;14.5724;16.9552;13.3051;16.7456;4.79928
F;18.6193;13.0875;17.3373;1.80481;6.77928;0;15.5199;1.2297;4.57578;2.05968;8.12172;14.7749;1.3362;8.51355;7.19705;15.8074;6.47827;19.3239;18.78;17.1809;6.99962;3.53677;19.4115;8.96798;6.87885
G;14.0155;7.02802;13.1066;18.4481;5.36503;15.5199;0;6.89786;3.37307;4.23868;17.5086;4.00776;12.4351;6.24635;16.4163;18.5502;10.3831;2.88485;6.74874;5.04645;8.62228;10.62;12.8087;14.3927;17.8645
H;6.04904;5.89915;5.20496;5.80552;5.05694;1.2297;6.89786;0;19.597;10.4904;1.68915;12.4615;11.8182;11.4112;11.0831;7.17377;4.5692;5.51728;17.9691;11.4756;9.96942;3.9855;18.3568;9.04121;2.57798
I;6.2104;13.9414;12.8153;17.4249;13.9091;4.57578;3.37307;19.597;0;17.0962;8.37118;8.46224;18.8065;6.65751;10.7184;14.9627;2.36402;12.0814;8.47357;19.2417;5.15058;10.732;14.215;14.2339;8.92067
J;1.12495;14.5729;11.0102;3.26656;3.51961;2.05968;4.23868;10.4904;17.0962;0;9.6917;10.3226;12.3042;9.49184;14.2825;9.14606;16.8669;10.6402;11.6643;8.31792;6.22219;9.41389;15.2349;17.745;5.94872
